"release_speed","balls","strikes","pfx_x","pfx_z","plate_x","plate_z","release_spin_rate","class"
91.7,0,0,-0.59,1.27,0.81,3.5,2099,"Weak/Miss"
81.6,0,0,1.1,-0.57,0.65,1.37,2382,"Strong"
84.7,2,2,1.61,-0.25,0.21,2.27,2513,"Strong"
94.7,2,1,-0.91,1.29,-0.49,3.86,2386,"Weak/Miss"
85.1,2,0,1.67,-0.09,-0.12,2.47,2455,"Take"
95.3,1,0,-0.96,1.24,-1.66,2.13,2391,"Take"
94.5,0,0,-0.85,1.25,-0.92,1.59,2342,"Take"
92,1,0,-1.4,0.6,-0.35,2.99,2062,"Weak/Miss"
91.7,0,0,-1.48,0.54,-2.28,2.74,1965,"Take"
83,2,2,0.97,-0.46,1.24,0.22,2284,"Weak/Miss"
91.9,1,2,-0.78,1.36,-0.27,4.14,2254,"Take"
92.2,1,1,-0.95,1.2,-1.13,3.42,2290,"Weak/Miss"
93.1,1,0,-1.01,1.35,0.33,2.1,2335,"Take"
92.8,0,0,-1.1,1.3,-0.5,1.51,2308,"Take"
84,1,0,-0.42,0.4,-0.12,2.51,2318,"Strong"
92.6,0,0,0.23,1.61,-1.44,3.02,2358,"Take"
85.4,3,2,-0.51,0.39,-0.59,2.44,2473,"Weak/Miss"
81.9,3,2,0.95,1.49,-0.22,3.62,2294,"Weak/Miss"
93,3,2,0.27,1.54,-0.67,3.01,2404,"Weak/Miss"
84.6,3,2,-0.45,0.47,0.14,2.36,2419,"Weak/Miss"
84.7,3,1,-0.42,0.56,0.7,2.63,2309,"Strong"
80.5,2,1,0.9,1.44,-1.41,2.72,2259,"Take"
91.5,1,1,0.33,1.48,0.71,4.04,2393,"Take"
91.8,0,1,0.33,1.56,0.79,4.3,2426,"Take"
85.9,0,0,-0.43,0.6,-0.44,2.02,2488,"Weak/Miss"
93.1,1,2,0.51,1.64,0.22,2.64,2386,"Weak/Miss"
84.2,0,2,-0.48,0.4,-1.57,0.73,2499,"Take"
91,0,1,0.24,1.71,-0.07,3.22,2445,"Strong"
89.5,2,2,-0.14,0.15,-0.23,0.77,2507,"Weak/Miss"
79.1,0,0,-0.66,-0.03,-0.65,1.96,2085,"Strong"
91.6,0,0,0.19,1.73,-0.96,2.92,2419,"Weak/Miss"
96.3,2,1,1.11,0.51,-0.3,2.75,2283,"Weak/Miss"
96.8,2,0,0.42,1.18,0.25,3.78,2406,"Strong"
89.4,1,0,-0.39,0.25,-0.96,1.06,2630,"Take"
96.9,0,0,0.46,1.31,1.41,4.16,2466,"Take"
84.1,2,1,0.55,0.5,0.3,3.18,2356,"Weak/Miss"
89.3,1,1,-0.24,1.42,1.11,2.05,2296,"Take"
88.6,0,1,-0.23,1.44,1.83,2.28,2318,"Take"
83.3,0,0,0.4,0.53,-0.63,3.1,2363,"Take"
78.8,0,1,1.31,0.16,0.48,2.86,2284,"Strong"
82.7,0,0,0.37,0.46,0.73,3.19,2292,"Take"
81.6,1,2,1.27,0.2,1.35,0.78,2303,"Weak/Miss"
85.1,1,0,0.54,0.31,0.6,3.51,2535,"Take"
92.1,0,0,0,1.39,-0.96,3.22,2300,"Take"
89.8,1,0,1.24,0.15,-0.08,2.1,1991,"Strong"
89.4,0,0,1.13,0.28,1.29,2.04,1928,"Take"
91.7,2,2,0.98,1.08,1.4,3.15,2089,"Weak/Miss"
85.6,1,2,-0.4,0.31,-0.73,1.29,2146,"Take"
92.3,1,1,0.85,1.17,0.69,2.94,1987,"Weak/Miss"
77.6,0,1,0.04,-0.64,-1.09,0.52,1934,"Take"
85.3,0,0,-0.29,0.41,-0.44,2.81,2047,"Take"
92,0,2,-0.55,1.63,-0.78,2.53,2542,"Take"
92.2,0,1,-0.53,1.57,0.58,4.08,2574,"Weak/Miss"
77,0,0,0.65,-0.87,-0.22,3.31,2803,"Take"
92.4,2,2,0.81,1.1,0.43,2.15,2141,"Weak/Miss"
92.4,2,2,1.08,1.43,-0.72,2.95,2225,"Strong"
96,1,2,-0.54,1.38,0.09,2.23,2127,"Strong"
89.2,1,2,0.54,0.15,1.04,2,2157,"Weak/Miss"
84.1,1,2,-0.42,0.52,-1.17,0.99,2352,"Take"
76.8,1,1,-0.6,-0.82,-0.76,2.53,1800,"Take"
76.4,0,1,-0.68,-0.92,0.78,3.41,1947,"Take"
93.8,0,2,-0.29,1.35,0.47,3.62,2022,"Weak/Miss"
85.9,0,1,-0.88,0.51,0.55,1.05,1986,"Weak/Miss"
93.3,0,0,0.97,1.61,0.16,3.1,2257,"Weak/Miss"
85.4,0,0,-1.09,0.47,-0.19,3.21,2041,"Strong"
96.7,1,0,-1.52,0.51,0.61,1.49,2105,"Strong"
97.5,0,0,-1.2,0.51,-0.21,3.89,2072,"Take"
81,0,0,0.65,-0.56,-0.6,2.62,2371,"Strong"
92.2,2,2,0.92,1.2,0.01,1.98,2267,"Weak/Miss"
91.8,1,1,0.92,1.37,0.35,4.77,2268,"Take"
82.8,1,0,-0.34,0.05,0.78,3.43,2270,"Weak/Miss"
85.8,0,0,-0.44,0.2,-0.13,0.26,2355,"Take"
79.3,0,1,0.72,-0.6,-0.18,2.67,2407,"Strong"
93.4,0,0,-0.86,1.2,0.03,2.62,2162,"Weak/Miss"
79.5,0,1,0.84,-0.93,0.4,2.57,2785,"Weak/Miss"
82.8,0,0,-0.81,0.41,0.05,3.05,1235,"Take"
85.9,0,1,-0.13,0.27,0.22,1.46,1054,"Weak/Miss"
85.5,0,0,-0.13,0.34,-0.58,1.83,1096,"Take"
92.2,2,2,-0.34,1.21,-0.24,2.26,2341,"Strong"
86.8,1,1,-0.96,0.17,-0.59,0.55,2142,"Take"
87.5,2,2,-0.49,0.45,-0.87,1.25,2460,"Weak/Miss"
91.8,0,1,-0.41,1.49,-0.29,4.06,2505,"Take"
86.4,0,0,-1.04,0.36,-0.81,1.67,2190,"Take"
95.2,2,2,0.43,1.77,0.03,3.59,2398,"Strong"
94.7,1,2,0.59,1.8,0.51,4.31,2469,"Take"
89.1,1,1,-0.5,0.66,-0.6,0.1,2462,"Weak/Miss"
86.3,0,1,-0.47,0.46,-0.41,3.58,2439,"Take"
94.7,0,0,0.41,1.77,-0.06,2.92,2476,"Take"
